total  , 206818725
average log, 6.28740
test000,1994060
test001,2073999
test002,2716353
test003,1934309
test004,2330547
test005,2168500
test006,2090761
test007,3557569
test008,1515642
test009,463467
test010,2447061
test011,0
test012,907419
test013,2098875
test014,1675314
test015,1454370
test016,1786268
test017,1976856
test018,1591975
test019,1231108
test020,1727482
test021,2244078
test022,1873334
test023,2614964
test024,2672519
test025,632515
test026,2623889
test027,2700407
test028,2840972
test029,1059890
test030,3258899
test031,2355802
test032,2394165
test033,2879696
test034,3106148
test035,1241348
test036,2001629
test037,2059225
test038,2985527
test039,1654008
test040,1484163
test041,906491
test042,2015889
test043,2448693
test044,1069604
test045,2892585
test046,2230849
test047,1398951
test048,3157905
test049,1535924
test050,1101339
test051,2166696
test052,3492810
test053,907566
test054,2722988
test055,3244275
test056,1174549
test057,470780
test058,1964841
test059,1785508
test060,1225547
test061,1937839
test062,1279533
test063,3187353
test064,1437535
test065,1997823
test066,2447772
test067,2786196
test068,1528229
test069,3317082
test070,2431815
test071,2373074
test072,2830522
test073,2178784
test074,2164485
test075,1783318
test076,1777059
test077,2952766
test078,2069289
test079,1648575
test080,2920416
test081,931580
test082,3802702
test083,762251
test084,2302592
test085,2287393
test086,2896016
test087,2221611
test088,2320075
test089,2075453
test090,2588197
test091,3084948
test092,2148849
test093,1822323
test094,2551643
test095,2541754
test096,2040885
test097,1159589
test098,2125071
test099,1767425
