total  , 211544014
average log, 6.28782
test000,1978491
test001,2161422
test002,2740492
test003,1987659
test004,2294467
test005,2286910
test006,2156712
test007,3532378
test008,1717280
test009,633494
test010,2481159
test011,97729
test012,993022
test013,2232364
test014,1755464
test015,1486710
test016,1862303
test017,2020017
test018,1622809
test019,1309529
test020,1872378
test021,2236440
test022,1868022
test023,2661684
test024,2737167
test025,609204
test026,2638482
test027,2725217
test028,2883283
test029,1159759
test030,3248047
test031,2440410
test032,2455776
test033,2904102
test034,3204691
test035,1313161
test036,2058750
test037,2124150
test038,2985089
test039,1754109
test040,1637034
test041,984207
test042,2048798
test043,2574092
test044,1167923
test045,2948298
test046,2196047
test047,1495900
test048,3201727
test049,1593054
test050,1121180
test051,2181677
test052,3412678
test053,919101
test054,2694482
test055,3166068
test056,1312554
test057,542903
test058,2033200
test059,1875310
test060,1199170
test061,1955367
test062,1376774
test063,3256017
test064,1486354
test065,2040181
test066,2402951
test067,2831568
test068,1535683
test069,3319986
test070,2387928
test071,2427056
test072,2913506
test073,2295027
test074,2156398
test075,1886684
test076,1857763
test077,2954282
test078,2084109
test079,1632022
test080,2937362
test081,861727
test082,3742514
test083,960068
test084,2294780
test085,2257779
test086,2970825
test087,2146414
test088,2413050
test089,2119935
test090,2589681
test091,3055061
test092,2198091
test093,1904165
test094,2599962
test095,2509467
test096,2182824
test097,1369540
test098,2222520
test099,1872858
